trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
86,False,"{'a': 0.9659854684582319, 'e': 0.841834171853843}",25,0,-90.32243464999014,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
87,False,"{'a': 0.8518152263912006, 'e': 0.8401505035101353}",20,0,-109.55245059859104,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
88,False,"{'a': 0.9501970511856357, 'e': 0.838470202503115}",25,0,-95.7581382648507,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
89,False,"{'a': 0.8662389132255046, 'e': 0.8367932620981088}",25,0,-56.46238498161292,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.9406579857117584, 'e': 0.8351196755739125}",30,0,-243.92425295228458,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 5}",0
91,False,"{'a': 0.904839619555572, 'e': 0.8334494362227647}",20,0,-37.16470662949986,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
92,False,"{'a': 0.9310141041258975, 'e': 0.8317825373503192}",20,0,-83.77254080941346,"{0: 9, 1: 7, 2: 2, 3: 2, 4: 0}",0
93,False,"{'a': 0.8860248184847577, 'e': 0.8301189722756185}",20,0,-69.42525008213705,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
94,False,"{'a': 0.8995920424712207, 'e': 0.8284587343310672}",25,0,-144.60555724157183,"{0: 17, 1: 0, 2: 4, 3: 2, 4: 2}",0
95,False,"{'a': 0.9302405414957213, 'e': 0.8268018168624051}",25,0,-158.21624618152063,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
96,False,"{'a': 0.8681571171733533, 'e': 0.8251482132286803}",20,0,-31.796386530954162,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
97,False,"{'a': 0.9209271944531537, 'e': 0.823497916802223}",20,0,-127.78919536720991,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
98,False,"{'a': 0.8616620751691692, 'e': 0.8218509209686186}",30,17,-13.709647733023948,"{0: 9, 1: 3, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.843750434394589, 'e': 0.8202072191266814}",20,0,-85.56219574054681,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
100,False,"{'a': 0.8347103456794469, 'e': 0.818566804688428}",20,0,-77.8011195724919,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.9608779737447288, 'e': 0.8169296710790511}",20,0,-53.94778376632242,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
102,False,"{'a': 0.8245297047548409, 'e': 0.815295811736893}",20,0,-80.20490189651227,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
103,False,"{'a': 0.9128997399419279, 'e': 0.8136652201134192}",25,0,-35.74138447846632,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
104,False,"{'a': 0.9432928303229815, 'e': 0.8120378896731923}",25,0,-105.067365212912,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
105,False,"{'a': 0.9426963197636444, 'e': 0.8104138138938459}",25,0,-101.32062704171788,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
106,False,"{'a': 0.9478892218231313, 'e': 0.8087929862660582}",20,0,-74.15919164603115,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
107,False,"{'a': 0.9442400987930635, 'e': 0.8071754002935261}",20,0,-27.851747507060324,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
108,False,"{'a': 0.813900193291584, 'e': 0.805561049492939}",25,0,-120.240915380028,"{0: 16, 1: 1, 2: 4, 3: 3, 4: 1}",0
