trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
230,False,"{'a': 0.09910481551887473, 'e': 0.09910481551887473}",20,0,16.85689349592773,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
231,False,"{'a': 0.09811376736368599, 'e': 0.09811376736368599}",25,7,29.677981583547588,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.09713262969004913, 'e': 0.09713262969004913}",25,13,20.83007496214975,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.09616130339314863, 'e': 0.09616130339314863}",20,11,15.512583267851449,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.09519969035921715, 'e': 0.09519969035921715}",30,21,17.69478474041755,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.09424769345562498, 'e': 0.09424769345562498}",25,18,9.402272009371238,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.09330521652106873, 'e': 0.09330521652106873}",20,6,25.932252803489668,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.09237216435585804, 'e': 0.09237216435585804}",25,11,24.344421534805612,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.09144844271229946, 'e': 0.09144844271229946}",25,15,3.8565478533296305,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
239,False,"{'a': 0.09053395828517646, 'e': 0.09053395828517646}",25,19,10.140880093440265,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 0.08962861870232469, 'e': 0.08962861870232469}",30,20,18.098898904593167,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
241,False,"{'a': 0.08873233251530144, 'e': 0.08873233251530144}",25,4,34.669721287156115,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
242,False,"{'a': 0.08784500919014843, 'e': 0.08784500919014843}",20,9,19.275613416138565,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
243,False,"{'a': 0.08696655909824694, 'e': 0.08696655909824694}",20,14,9.547727697225536,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
