trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
153,False,"{'a': 0.21487444770607952, 'e': 0.21487444770607952}",20,2,-150.18732714576524,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 4}",1
154,False,"{'a': 0.21272570322901874, 'e': 0.21272570322901874}",30,14,8.012713768738013,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.21059844619672854, 'e': 0.21059844619672854}",20,6,-48.36649820555512,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
156,False,"{'a': 0.20849246173476127, 'e': 0.20849246173476127}",20,14,7.27558183228148,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.20640753711741366, 'e': 0.20640753711741366}",20,14,12.168241729382487,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.20434346174623952, 'e': 0.20434346174623952}",25,14,10.167324495925163,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.20230002712877712, 'e': 0.20230002712877712}",25,18,14.879531401843794,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.20027702685748935, 'e': 0.20027702685748935}",25,14,22.16633905354175,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.19827425658891445, 'e': 0.19827425658891445}",25,16,14.774946239983695,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.1962915140230253, 'e': 0.1962915140230253}",20,0,11.933646986415505,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
163,False,"{'a': 0.19432859888279505, 'e': 0.19432859888279505}",20,10,17.790593815778553,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.1923853128939671, 'e': 0.1923853128939671}",25,15,-6.157686601265885,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
165,False,"{'a': 0.19046145976502743, 'e': 0.19046145976502743}",20,16,8.111045981472971,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.18855684516737714, 'e': 0.18855684516737714}",20,3,28.415486199412154,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.18667127671570335, 'e': 0.18667127671570335}",30,13,22.7535390136073,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.18480456394854633, 'e': 0.18480456394854633}",20,8,20.699057749960364,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.18295651830906087, 'e': 0.18295651830906087}",30,20,-2.0107265653910265,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
170,False,"{'a': 0.18112695312597027, 'e': 0.18112695312597027}",35,18,12.95174135498865,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
171,False,"{'a': 0.17931568359471056, 'e': 0.17931568359471056}",20,4,20.005097127938555,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.17752252675876345, 'e': 0.17752252675876345}",20,0,7.894572479013615,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
173,False,"{'a': 0.17574730149117582, 'e': 0.17574730149117582}",25,0,14.647133022629275,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
174,False,"{'a': 0.17398982847626407, 'e': 0.17398982847626407}",25,17,16.104854961750465,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.17224993019150142, 'e': 0.17224993019150142}",20,14,11.555482620028988,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.1705274308895864, 'e': 0.1705274308895864}",25,15,18.71509601305242,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.16882215658069055, 'e': 0.16882215658069055}",30,23,9.976648491515972,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.16713393501488363, 'e': 0.16713393501488363}",20,14,8.890218041625424,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.16546259566473479, 'e': 0.16546259566473479}",25,10,13.759871137352693,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.16380796970808745, 'e': 0.16380796970808745}",20,9,8.667012883676385,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.16216989001100657, 'e': 0.16216989001100657}",20,8,-31.485231612166643,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
182,False,"{'a': 0.1605481911108965, 'e': 0.1605481911108965}",20,13,13.441077928987392,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.15894270919978754, 'e': 0.15894270919978754}",35,17,3.3858755798427818,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
184,False,"{'a': 0.15735328210778965, 'e': 0.15735328210778965}",20,15,8.675946605933634,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.15577974928671176, 'e': 0.15577974928671176}",20,12,16.40986744251934,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.15422195179384465, 'e': 0.15422195179384465}",35,20,-35.08196777517143,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.1526797322759062, 'e': 0.1526797322759062}",30,18,-31.017460113386754,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
188,False,"{'a': 0.15115293495314713, 'e': 0.15115293495314713}",20,10,-10.686537931794579,"{0: 8, 1: 1, 2: 0, 3: 1, 4: 0}",1
189,False,"{'a': 0.14964140560361566, 'e': 0.14964140560361566}",25,11,26.053771453589388,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
190,False,"{'a': 0.1481449915475795, 'e': 0.1481449915475795}",25,12,4.640441137887191,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
191,False,"{'a': 0.1466635416321037, 'e': 0.1466635416321037}",20,0,21.096087012829138,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
192,False,"{'a': 0.14519690621578268, 'e': 0.14519690621578268}",25,11,17.229906636042557,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.14374493715362485, 'e': 0.14374493715362485}",20,15,8.69513427885554,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.1423074877820886, 'e': 0.1423074877820886}",25,8,24.049356960032046,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.1408844129042677, 'e': 0.1408844129042677}",20,6,30.41932396792255,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.13947556877522502, 'e': 0.13947556877522502}",20,6,24.686359041574647,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
197,False,"{'a': 0.13808081308747278, 'e': 0.13808081308747278}",25,17,2.6125568870272895,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
198,False,"{'a': 0.13670000495659804, 'e': 0.13670000495659804}",25,5,22.415089684394246,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
199,False,"{'a': 0.13533300490703207, 'e': 0.13533300490703207}",30,16,28.594618041231055,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.13397967485796175, 'e': 0.13397967485796175}",25,14,19.983964240172106,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.13263987810938213, 'e': 0.13263987810938213}",30,23,15.149780055507602,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
202,False,"{'a': 0.1313134793282883, 'e': 0.1313134793282883}",25,9,-18.224018326799698,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
203,False,"{'a': 0.13000034453500542, 'e': 0.13000034453500542}",30,18,8.831676523321905,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
204,False,"{'a': 0.12870034108965536, 'e': 0.12870034108965536}",20,0,24.05919503695437,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
205,False,"{'a': 0.12741333767875881, 'e': 0.12741333767875881}",25,13,10.577651650563709,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.12613920430197123, 'e': 0.12613920430197123}",25,17,15.40688884812653,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
207,False,"{'a': 0.12487781225895152, 'e': 0.12487781225895152}",25,11,14.826354797680246,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
208,False,"{'a': 0.123629034136362, 'e': 0.123629034136362}",25,1,38.68333277367381,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
209,False,"{'a': 0.12239274379499838, 'e': 0.12239274379499838}",30,11,29.109249200471833,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
